"filename", "language", "C++", "Markdown", "JavaScript", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\01-bag.cpp", "C++", 162, 0, 0, 7, 8, 177
"e:\ww\ccccppppppppppp\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"e:\ww\ccccppppppppppp\f\src\reducer.js", "JavaScript", 0, 0, 20, 1, 2, 23
"e:\ww\ccccppppppppppp\fire_anna\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"e:\ww\ccccppppppppppp\recu.cpp", "C++", 161, 0, 0, 8, 13, 182
"Total", "-", 323, 4, 20, 16, 25, 388
