"filename", "language", "C++", "Python", "JSON", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\.fleet\run.json", "JSON", 0, 0, 4, 0, 1, 5
"e:\ww\ccccppppppppppp\encapsulateTrie.cpp", "C++", 216, 0, 0, 162, 20, 398
"e:\ww\ccccppppppppppp\python\zipsort.py", "Python", 0, 62, 0, 13, 13, 88
"e:\ww\ccccppppppppppp\stringcomp.cpp", "C++", 190, 0, 0, 7, 7, 204
"e:\ww\ccccppppppppppp\tempCodeRunnerFile.cpp", "C++", -1, 0, 0, 1, 0, 0
"e:\ww\ccccppppppppppp\trie.cpp", "C++", 135, 0, 0, 93, 11, 239
"e:\ww\ccccppppppppppp\tt.cpp", "C++", 31, 0, 0, 7, 0, 38
"Total", "-", 571, 62, 4, 283, 52, 972
