"filename", "language", "C++", "Java", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\cpp\dbfs.cpp", "C++", 47, 0, 4, 4, 55
"e:\ww\ccccppppppppppp\cpp\dp.cpp", "C++", -30, 0, 0, 1, -29
"e:\ww\ccccppppppppppp\cpp\hashmap.cpp", "C++", 50, 0, 1, 0, 51
"e:\ww\ccccppppppppppp\cpp\recu.cpp", "C++", 81, 0, 5, -5, 81
"e:\ww\ccccppppppppppp\cpp\stringcomp.cpp", "C++", 148, 0, 11, 2, 161
"e:\ww\ccccppppppppppp\javaaaaa\BDFS.java", "Java", 0, 31, 0, 1, 32
"e:\ww\ccccppppppppppp\javaaaaa\Unionset1.java", "Java", 0, 72, 13, 7, 92
"e:\ww\ccccppppppppppp\javaaaaa\heapi.java", "Java", 0, 72, 1, 7, 80
"e:\ww\ccccppppppppppp\t.cpp", "C++", 39, 0, 0, 3, 42
"Total", "-", 335, 175, 35, 20, 565
