"filename", "language", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\binary_tree.cpp", "C++", 23, 0, 3, 26
"e:\ww\ccccppppppppppp\c_strcopy.cpp", "C++", 58, 0, 2, 60
"e:\ww\ccccppppppppppp\haash.cpp", "C++", 30, 0, 6, 36
"e:\ww\ccccppppppppppp\indequeue.cpp", "C++", 32, 0, 1, 33
"e:\ww\ccccppppppppppp\inenstack.cpp", "C++", 32, 1, 2, 35
"e:\ww\ccccppppppppppp\rbtree.cpp", "C++", 145, 2, 7, 154
"Total", "-", 320, 3, 21, 344
