"filename", "language", "Rust", "JSON", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\rust\mystack\src\lib.rs", "Rust", 327, 0, 2, 13, 342
"e:\ww\ccccppppppppppp\rust\mystack\src\main.rs", "Rust", 262, 0, 8, 15, 285
"e:\ww\ccccppppppppppp\rust\mystack\target\.rustc_info.json", "JSON", 0, 1, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-17ead9b6a3c367ea\lib-mystack.json", "JSON", 0, 1, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-24cfd96fdea32d79\test-lib-mystack.json", "JSON", 0, 1, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-8809621481184532\test-lib-mystack.json", "JSON", 0, 1, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-eaa43719bcf9b9bc\bin-mystack.json", "JSON", 0, 1, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-fa3b3de84a855cb7\test-bin-mystack.json", "JSON", 0, 1, 0, 0, 1
"Total", "-", 589, 6, 10, 28, 633
