"filename", "language", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\binary_search.cpp", "C++", 25, 0, 1, 26
"e:\ww\ccccppppppppppp\binary_tree.cpp", "C++", 72, 1, 4, 77
"e:\ww\ccccppppppppppp\rbtree.cpp", "C++", 260, 4, 12, 276
"e:\ww\ccccppppppppppp\testcPP.cpp", "C++", 207, 3, 3, 213
"e:\ww\ccccppppppppppp\tt.cpp", "C++", 62, 3, 6, 71
"Total", "-", 626, 11, 26, 663
