"filename", "language", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\01-bag.cpp", "C++", 46, 3, 3, 52
"e:\ww\ccccppppppppppp\list.cpp", "C++", 55, 1, 2, 58
"e:\ww\ccccppppppppppp\stringcomp.cpp", "C++", 169, 10, 6, 185
"e:\ww\ccccppppppppppp\tempCodeRunnerFile.cpp", "C++", 1, 0, 0, 1
"Total", "-", 271, 14, 11, 296
