"filename", "language", "C++", "Java", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\binary_tree.cpp", "C++", 50, 0, 1, 0, 51
"e:\ww\ccccppppppppppp\heap-priqueue.cpp", "C++", 83, 0, 3, 2, 88
"e:\ww\ccccppppppppppp\javaaaaa\heapi.java", "Java", 0, 0, 0, 1, 1
"e:\ww\ccccppppppppppp\tempCodeRunnerFile.cpp", "C++", 0, 0, -6, 0, -6
"Total", "-", 133, 0, -2, 3, 134
