"filename", "language", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\hman.cpp", "C++", 197, 5, 9, 211
"e:\ww\ccccppppppppppp\list.cpp", "C++", 171, 0, 6, 177
"e:\ww\ccccppppppppppp\tt.cpp", "C++", 25, 8, 3, 36
"Total", "-", 393, 13, 18, 424
