"filename", "language", "Java", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\javaaaaa\MyCircularQueueV2node.java", "Java", 45, 0, 11, 56
"e:\ww\ccccppppppppppp\javaaaaa\StringOp.java", "Java", 55, 1, 5, 61
"e:\ww\ccccppppppppppp\javaaaaa\bst.java", "Java", 152, 2, 15, 169
"e:\ww\ccccppppppppppp\javaaaaa\stackqueue.java", "Java", 93, 0, 14, 107
"Total", "-", 345, 3, 45, 393
