Date : 2022-10-04 12:07:26
Directory : e:\ww\ccccppppppppppp
Total : 77 files,  12667 codes, 2707 comments, 948 blanks, all 16322 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\ww\ccccppppppppppp\recu.cpp                                                | C++      |        488 |         12 |         28 |        528 |
| e:\ww\ccccppppppppppp\rust\.VSCodeCounter\2022-09-30_18-17-30\details.md      | Markdown |         17 |          0 |          6 |         23 |
| e:\ww\ccccppppppppppp\rust\.VSCodeCounter\2022-09-30_18-17-30\diff-details.md | Markdown |          9 |          0 |          6 |         15 |
| e:\ww\ccccppppppppppp\rust\.VSCodeCounter\2022-09-30_18-17-30\diff.md         | Markdown |         12 |          0 |          7 |         19 |
| e:\ww\ccccppppppppppp\rust\.VSCodeCounter\2022-09-30_18-17-30\results.json    | JSON     |          1 |          0 |          0 |          1 |
| e:\ww\ccccppppppppppp\rust\.VSCodeCounter\2022-09-30_18-17-30\results.md      | Markdown |         25 |          0 |          7 |         32 |
| e:\ww\ccccppppppppppp\rust\mystack\src\graph_al.rs                            | Rust     |         20 |          0 |          2 |         22 |
| e:\ww\ccccppppppppppp\rust\mystack\src\lib.rs                                 | Rust     |        327 |          2 |         12 |        341 |
| e:\ww\ccccppppppppppp\rust\mystack\src\main.rs                                | Rust     |        262 |          8 |         15 |        285 |
| e:\ww\ccccppppppppppp\rust\mystack\src\sort_alg.rs                            | Rust     |        327 |          2 |         14 |        343 |
| e:\ww\ccccppppppppppp\serializeTree.cpp                                       | C++      |        147 |         15 |          3 |        165 |
| e:\ww\ccccppppppppppp\stack.cpp                                               | C++      |        304 |        496 |         26 |        826 |
| e:\ww\ccccppppppppppp\stringcomp.cpp                                          | C++      |        391 |         17 |         14 |        422 |
| e:\ww\ccccppppppppppp\tempCodeRunnerFile.cpp                                  | C++      |          0 |          1 |          0 |          1 |
| e:\ww\ccccppppppppppp\test-preoderserialization.cpp                           | C++      |         46 |          1 |          1 |         48 |
| e:\ww\ccccppppppppppp\testcPP.cpp                                             | C++      |        207 |          3 |          3 |        213 |
| e:\ww\ccccppppppppppp\trie.cpp                                                | C++      |        135 |         93 |         11 |        239 |
| e:\ww\ccccppppppppppp\tt.cpp                                                  | C++      |        118 |         18 |          9 |        145 |
| e:\ww\ccccppppppppppp\weight_quick_union.cpp                                  | C++      |        217 |         10 |         11 |        238 |
| e:\ww\ccccppppppppppp\weighted_withpath.cpp                                   | C++      |          0 |          0 |          1 |          1 |
| Total                                                                         |          |     12,667 |      2,707 |        948 |     16,322 |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
