"filename", "language", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\fenwickTree.cpp", "C++", 0, 83, 9, 92
"e:\ww\ccccppppppppppp\hman.cpp", "C++", 153, 12, 4, 169
"e:\ww\ccccppppppppppp\list.cpp", "C++", 118, 1, -2, 117
"Total", "-", 271, 96, 11, 378
